epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
186,11544.2,1.00822,0.78311,0.98101,0.61341,0.006337,0.006337,0.006337
187,11605.1,1.00064,0.78379,0.98095,0.61027,0.0063172,0.0063172,0.0063172
188,11666.3,1.00595,0.78389,0.98101,0.607,0.0062974,0.0062974,0.0062974
189,11727.2,1.00084,0.7842,0.98106,0.60872,0.0062776,0.0062776,0.0062776
190,11788.2,1.00428,0.78457,0.98116,0.60798,0.0062578,0.0062578,0.0062578
191,11849.2,1.00357,0.78436,0.98137,0.60768,0.006238,0.006238,0.006238
192,11910.1,1.00096,0.78509,0.98132,0.60763,0.0062182,0.0062182,0.0062182
193,11971.3,1.00075,0.78488,0.98142,0.60346,0.0061984,0.0061984,0.0061984
194,12032.3,1.00055,0.78498,0.98168,0.60325,0.0061786,0.0061786,0.0061786
195,12093.2,1.00172,0.78555,0.98173,0.60416,0.0061588,0.0061588,0.0061588
196,12154.1,0.9991,0.78581,0.98158,0.5988,0.006139,0.006139,0.006139
197,12215.1,0.99483,0.78592,0.98121,0.60302,0.0061192,0.0061192,0.0061192
198,12276.2,0.99469,0.78654,0.98142,0.60141,0.0060994,0.0060994,0.0060994
199,12337.1,0.99796,0.78644,0.98132,0.59751,0.0060796,0.0060796,0.0060796
200,12398.2,0.99216,0.78696,0.98137,0.59918,0.0060598,0.0060598,0.0060598
201,12459.1,0.99712,0.7868,0.98163,0.59376,0.00604,0.00604,0.00604
202,12520.1,0.99475,0.78633,0.98173,0.59236,0.0060202,0.0060202,0.0060202
203,12581.3,0.99208,0.78628,0.98158,0.592,0.0060004,0.0060004,0.0060004
204,12642.2,0.99556,0.78623,0.98153,0.59495,0.0059806,0.0059806,0.0059806
205,12703.2,0.99077,0.78639,0.98173,0.59749,0.0059608,0.0059608,0.0059608
206,12764.3,0.99235,0.78701,0.98168,0.59472,0.005941,0.005941,0.005941
207,12825.4,0.98842,0.78727,0.98158,0.59138,0.0059212,0.0059212,0.0059212
208,12886.6,0.98742,0.7868,0.98163,0.59211,0.0059014,0.0059014,0.0059014
